Price,Apartment type,Minutes to metro,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation_Designer,Renovation_European-style renovation,Renovation_Without renovation
15.656060350091908,1,6.0,1.0,30.6,11.1,8.5,25.0,25,False,False,False
16.012735246411598,1,2.0,1.0,49.2,20.0,10.0,6.0,15,False,True,False
15.931766193248746,1,8.0,1.0,35.1,16.0,11.0,12.0,33,False,True,False
15.679590843810702,1,6.0,1.0,37.7,15.2,4.0,5.0,5,False,False,True
15.78262305453032,1,6.0,1.0,38.4,18.0,8.0,8.0,18,False,True,False
15.816990693309524,1,11.0,1.0,33.0,16.0,8.0,7.0,7,False,True,False
15.830413711839864,1,27.0,1.0,25.0,14.8,8.7,16.0,34,False,True,False
15.86963441986494,1,6.0,1.0,41.8,18.0,10.0,6.0,17,False,False,False
15.89495209964411,1,35.0,1.0,44.0,19.0,11.0,11.0,24,True,False,False
16.012735246411598,1,17.0,1.0,44.8,15.0,10.3,5.0,6,False,True,False
15.607270193858982,1,3.0,1.0,33.8,17.0,7.0,4.0,9,False,False,True
15.64006001130563,1,19.0,1.0,32.7,18.0,6.0,9.0,9,False,True,False
15.656060350091908,1,19.0,1.0,32.1,18.4,9.3,2.0,9,False,False,True
15.687312888712007,1,7.0,1.0,34.9,17.0,9.0,2.0,14,False,False,False
15.732433317205148,1,7.0,1.0,38.0,17.4,9.0,8.0,14,False,True,False
15.810211007243431,1,6.0,1.0,40.0,16.1,9.8,17.0,24,False,True,False
15.90737474309945,1,6.0,1.0,47.6,26.0,12.0,8.0,11,False,False,False
15.919644834185693,1,12.0,1.0,32.5,18.6,9.3,1.0,8,True,False,False
15.967272877502799,1,8.0,1.0,36.5,13.0,15.0,23.0,33,True,False,False
16.034714150714915,1,5.0,1.0,33.75,16.5,8.6,3.0,8,True,False,False
16.04552506565036,1,15.0,1.0,39.1,18.0,11.0,17.0,29,False,False,True
15.86963441986494,1,6.0,1.0,39.5,16.6,12.0,20.0,26,False,True,False
15.86320353036178,1,7.0,1.0,39.5,14.0,14.1,2.0,26,False,True,False
15.931766193248746,1,5.0,1.0,44.0,18.0,11.6,10.0,25,False,False,False
15.955576839107596,1,16.0,1.0,32.1,9.0,18.0,23.0,45,False,True,False
16.056220353623207,1,9.0,1.0,42.0,9.0,10.1,4.0,23,False,False,False
16.066802461833923,1,20.0,1.0,37.7,18.9,7.4,8.0,17,False,False,True
15.250595321348806,1,36.0,1.0,18.3,13.0,2.3,5.0,5,False,False,False
15.473738825043979,1,6.0,1.0,31.0,18.0,6.0,1.0,4,False,False,False
15.511126350125648,1,13.0,1.0,31.0,18.0,6.0,5.0,5,False,False,False
15.555976908243359,1,29.0,1.0,45.0,28.0,7.0,1.0,3,False,False,False
15.571643022260735,1,7.0,1.0,26.6,16.5,5.0,23.0,26,False,True,False
15.573368647930426,1,5.0,1.0,32.5,20.0,7.0,7.0,9,False,False,False
15.573368647930426,1,12.0,1.0,28.3,17.0,6.0,3.0,5,False,False,True
15.580241526037272,1,4.0,1.0,23.0,14.5,3.5,4.0,5,False,False,False
15.573368647930426,1,10.0,1.0,31.0,18.0,9.2,3.0,5,False,False,False
15.607270193858982,1,4.0,1.0,23.0,14.5,3.5,4.0,5,False,False,False
15.623799493077952,1,7.0,1.0,30.5,14.0,9.5,13.0,25,False,True,False
15.623799493077952,1,6.0,1.0,39.0,10.0,9.9,7.0,18,False,False,False
15.623799493077952,1,6.0,1.0,39.0,9.0,9.9,5.0,18,False,False,False
15.623799493077952,1,19.0,1.0,32.0,18.3,9.3,1.0,7,False,False,False
15.64006001130563,1,7.0,1.0,32.0,17.0,6.0,4.0,5,False,True,False
15.656060350091908,1,7.0,1.0,30.0,10.9,8.3,25.0,25,False,False,False
15.656060350091908,1,8.0,1.0,19.5,12.0,8.3,2.0,22,True,False,False
15.687159030746301,1,6.0,1.0,34.7,19.0,10.0,11.0,16,False,False,True
15.687312888712007,1,17.0,1.0,31.8,13.7,10.0,19.0,25,False,False,False
15.694975760283178,1,16.0,1.0,34.0,15.0,11.0,4.0,12,False,False,False
15.710127563007966,1,16.0,1.0,34.0,15.0,11.0,6.0,12,False,False,False
15.72505321099685,1,19.0,1.0,34.0,18.0,6.0,1.0,6,False,True,False
15.732433317205148,1,7.0,1.0,35.5,14.9,11.5,12.0,25,False,False,False
15.732433317205148,1,16.0,1.0,40.8,17.0,14.9,2.0,8,False,False,True
15.732433317205148,1,15.0,1.0,35.5,16.0,11.5,2.0,12,False,False,True
15.745581788127712,1,16.0,1.0,35.4,17.0,8.4,4.0,14,False,True,False
15.732433317205148,1,5.0,1.0,37.9,18.0,9.0,9.0,18,False,False,False
15.732433317205148,1,14.0,1.0,35.1,17.7,8.0,5.0,9,False,False,False
15.7599912572715,1,18.0,1.0,29.0,15.2,5.0,5.0,5,False,True,False
15.76142084987672,1,8.0,1.0,37.0,14.5,10.1,15.0,24,False,False,False
